"Date,Workout,Time,Exercise,Region,Muscle Group (Primary),Muscle Group (Secondary),Repetitions / Time,Weight / Distance,Notes,Skipped"
"26/03/2020,Essentials,11:39,Barbell Bench Presses,Chest,Pectorals,Arm extensors,6,40.00 kg,,No"
"26/03/2020,Essentials,11:41,Barbell Bench Presses,Chest,Pectorals,Arm extensors,6,40.00 kg,,No"
"26/03/2020,Essentials,11:42,Barbell Bench Presses,Chest,Pectorals,Arm extensors,6,40.00 kg,,No"
"26/03/2020,Essentials,11:46,Barbell Squats,Legs,Quadriceps,Glutes,6,30.00 kg,,No"
"26/03/2020,Essentials,11:47,Barbell Squats,Legs,Quadriceps,Glutes,6,30.00 kg,,No"
"26/03/2020,Essentials,11:49,Barbell Squats,Legs,Quadriceps,Glutes,6,30.00 kg,,No"
"26/03/2020,Essentials,11:50,Barbell Back Presses,Shoulders,Shoulders,Arm extensors,6,20.00 kg,,No"
"26/03/2020,Essentials,11:52,Barbell Back Presses,Shoulders,Shoulders,Arm extensors,6,20.00 kg,,No"
"26/03/2020,Essentials,11:53,Barbell Back Presses,Shoulders,Shoulders,Arm extensors,6,20.00 kg,,No"
"26/03/2020,Essentials,11:56,Barbell Deadlifts,Back,Lumbar muscles,Trapezius,6,40.00 kg,40 is too hard for my painful hamstrings and quads right now. Going to take it to 20 for now.,No"
"26/03/2020,Essentials,11:58,Barbell Deadlifts,Back,Lumbar muscles,Trapezius,6,20.00 kg,,No"
"26/03/2020,Essentials,12:00,Barbell Deadlifts,Back,Lumbar muscles,Trapezius,6,20.00 kg,,No"
"26/03/2020,Essentials,12:04,Dumbbell One-Arm Rows,Back,Dorsal muscles,Trapezius,6,10.00 kg,,No"
"26/03/2020,Essentials,12:04,Dumbbell One-Arm Rows,Back,Dorsal muscles,Trapezius,6,10.00 kg,,No"
"26/03/2020,Essentials,12:07,Dumbbell One-Arm Rows,Back,Dorsal muscles,Trapezius,6,10.00 kg,,No"
"23/03/2020,Essentials,11:46,Barbell Deadlifts,Back,Lumbar muscles,Trapezius,6,40.00 kg,,No"
"23/03/2020,Essentials,11:46,Barbell Deadlifts,Back,Lumbar muscles,Trapezius,6,40.00 kg,,No"
"23/03/2020,Essentials,11:48,Barbell Deadlifts,Back,Lumbar muscles,Trapezius,6,40.00 kg,,No"
"23/03/2020,Essentials,11:51,Barbell Bench Presses,Chest,Pectorals,Arm extensors,6,40.00 kg,,No"
"23/03/2020,Essentials,11:53,Barbell Bench Presses,Chest,Pectorals,Arm extensors,6,40.00 kg,,No"
"23/03/2020,Essentials,11:54,Barbell Bench Presses,Chest,Pectorals,Arm extensors,6,40.00 kg,,No"
"23/03/2020,Essentials,11:56,Barbell Back Presses,Shoulders,Shoulders,Arm extensors,6,20.00 kg,,No"
"23/03/2020,Essentials,11:58,Barbell Back Presses,Shoulders,Shoulders,Arm extensors,6,20.00 kg,,No"
"23/03/2020,Essentials,12:02,Barbell Back Presses,Shoulders,Shoulders,Arm extensors,6,20.00 kg,,No"
"23/03/2020,Essentials,12:04,Barbell Squats,Legs,Quadriceps,Glutes,6,20.00 kg,,No"
"23/03/2020,Essentials,12:07,Barbell Squats,Legs,Quadriceps,Glutes,6,20.00 kg,,No"
"23/03/2020,Essentials,12:10,Barbell Squats,Legs,Quadriceps,Glutes,6,20.00 kg,,No"
"23/03/2020,Essentials,12:11,Dumbbell One-Arm Rows,Back,Dorsal muscles,Trapezius,6,10.00 kg,,No"
"23/03/2020,Essentials,12:12,Dumbbell One-Arm Rows,Back,Dorsal muscles,Trapezius,6,10.00 kg,,No"
"23/03/2020,Essentials,12:14,Dumbbell One-Arm Rows,Back,Dorsal muscles,Trapezius,6,10.00 kg,,No"
